••000 Sprint ^ 00:43 fki.0 * 84%,Sprint,000
-1 Spiral notebook,Spiral notebook,1
-2 folders (one for research),folders,2
Science
-I Spiral notebook,Spiral notebook,1
-1 folder,folder,1
Health
-1 Folder: Poly W/ Tangs,Folder Tangs,1
Spanish IA
-1 Composition notebooks (100 sheet = 200 pages),Composition notebooks,1
-1 Pocket folder with prongs,Pocket folder,1
-1 package loose-leaf paper (College -ruled),loose leaf paper,1
-1 Dry erase marker,Dry erase marker,1
-Spanish-English Dictionary (keep for continued use in Spanish 1B),Spanish English Dictionary,1
*Preference University of Chicago or Barron's,Preference University Chicago Barron,1
-1 pad Post -it Notes,pad Post Notes,1
-1 pk (100) Index Cards: 3x5 Ruled,Index Cards Ruled,1
SNS 7
-3 ring binder with 5 dividers,ring binder,3
-2 packages of loose-leaf paper,loose leaf paper,2
-Spanish-English Dictionary (Keep for continued use in SNS 8),Spanish English Dictionary,1
"*F...:,,...,.ce University of Chicago or Barron's",University Chicago Barron,1
Tech Lab,Tech Lab,1
-512 MB (minimum) flash drive,flash drive,512
-1 Subject Notebook,Subject Notebook,1
Art
-I Large Eraser,Large Eraser,1
-Paper,Paper,1
Band
-Essential Elements 2000 Book 2 — 7 and 8 grade band,Essential Elements 2000 Book and band,Multiple
-Wire music stand (for home practice),Wire music stand,1
-5 new reeds (reed instrument players),new reeds,5
-Valve/Slide Oil (brass players),Valve Slide Oil,Multiple
-Cleaning swabs/supplies (for instrument)
College and Careers,College and Careers,Multiple
-1 Notebook,Notebook,1
-I Folder,Folder,1
2017-2018
8 Grade Supply List
Spanish or SNS8 Heritage,Spanish Heritage,1
-3 ring binder with 5 dividers,ring binder,3
"-1 Index Tab Dividers, set of 8",Index Tab Dividers,1
-1 packages of loose-leaf paper,loose leaf paper,1
-Spanish-English Dictionary,Spanish English Dictionary,1
*Preference University of Chicago or Barron's,Preference University Chicago Barron,1
-12 Pencils,Pencils,12
-1 Blue pen,Blue pen,1
-1 Red pen,Red pen,1
-1 Dry Erase Marker,Dry Erase Marker,1
"-1 pack index cards, 3x5 ruled, 100 count",pack index cards ruled 100,1
Health
"-1 Folder, ploy with Tangs",Folder ploy,1
-1 Spiral notebook,Spiral notebook,1
College/Careers,College Careers,Multiple
-1 Spiral notebook,Spiral notebook,1
-1 Folder,Folder,1
Art
-1 large eraser,large eraser,1
Tech Lab,Tech Lab,1
-512 MB (minimum) flash drive,flash drive,512
-1 spiral notebook,spiral notebook,1
Band
Essential Elements 2000 Book 2 — 7 and 8 grade band,Essential Elements 2000 Book and band,Multiple
-Wire music stand (for home practice),Wire music stand,1
-5 new reeds (reed instrument players),new reeds,5
-Valve/Slide Oil (brass players),Valve Slide Oil,Multiple
-Cleaning swabs/supplies (for instrument)
Note: All students are required to purchase a PE uniform for LaSalle
Academy. The PE uniform is $15.00 and the order forms will be
distributed during the first week of gym class. 6' 8' grade students may
wear a previously purchased LaSalle gym uniform. A $1.00 fee will also
be charged for the rental of a gym locker.
